bm_symbol,sm_name,bm_purpose,bm_desc,bm_date,bm_timestamp,attachment
SEPC,SEPC Limited,Board Meeting Intimation,SEPC LIMITED has informed the Exchange about Board Meeting to be held on 28-Nov-2024 to consider Conversions of FCD.,28-Nov-2024,25-Nov-2024 19:25:28,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_41605_1319270_25112024072524_WEB.xml
SEPC,SEPC Limited,Other business matters,"Intimation under Regulation 29 of SEBI LODR regarding  the Meeting of Board of Directors of the Company proposed to be held on November 28, 2024. Detailed Letter is enclosed.",28-Nov-2024,25-Nov-2024 19:21:06,https://nsearchives.nseindia.com/corporate/SEPC_25112024192106_PriorIntimationBM28112024sd.pdf
ONMOBILE,OnMobile Global Limited,Board Meeting Intimation,ONMOBILE GLOBAL LIMITED has informed the Exchange about Board Meeting to be held on 29-Nov-2024 to consider Fund raising.,29-Nov-2024,25-Nov-2024 18:50:34,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_41603_1319243_25112024065031_WEB.xml
PAISALO,Paisalo Digital Limited,Board Meeting Intimation,PAISALO DIGITAL LIMITED has informed the Exchange about Board Meeting to be held on 28-Nov-2024 to consider Fund raising.,28-Nov-2024,25-Nov-2024 17:57:22,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_41600_1319176_25112024055719_WEB.xml
AGIIL,Agi Infra Limited,Board Meeting Intimation,AGI INFRA LIMITED has informed the Exchange about Board Meeting to be held on 02-Dec-2024 to consider Stock split.,02-Dec-2024,25-Nov-2024 16:36:36,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_41597_1319063_25112024043633_WEB.xml
AGIIL,Agi Infra Limited,Stock Split,To consider stock split of equity shares of the Company,02-Dec-2024,25-Nov-2024 16:23:30,https://nsearchives.nseindia.com/corporate/AGIIL_25112024162330_IntimationofBMandClosureoftradingwindow.pdf
AHLWEST,Asian Hotels (West) Limited,Board Meeting Intimation,ASIAN HOTELS (WEST) LIMITED has informed the Exchange about Board Meeting to be held on 27-Nov-2024 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended September 2024 .,27-Nov-2024,25-Nov-2024 16:18:00,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_41595_1319051_25112024041757_WEB.xml
AHLWEST,Asian Hotels (West) Limited,Board Meeting Intimation,ASIAN HOTELS (WEST) LIMITED has informed the Exchange about Board Meeting to be held on 27-Nov-2024 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2024 .,27-Nov-2024,25-Nov-2024 16:17:44,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_41594_1319049_25112024041741_WEB.xml
AHLWEST,Asian Hotels (West) Limited,Board Meeting Intimation,ASIAN HOTELS (WEST) LIMITED has informed the Exchange about Board Meeting to be held on 27-Nov-2024 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended March 2024 .,27-Nov-2024,25-Nov-2024 16:17:32,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_41593_1319047_25112024041729_WEB.xml
AHLWEST,Asian Hotels (West) Limited,Board Meeting Intimation,ASIAN HOTELS (WEST) LIMITED has informed the Exchange about Board Meeting to be held on 27-Nov-2024 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended December 2023 .,27-Nov-2024,25-Nov-2024 16:17:16,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_41592_1319045_25112024041713_WEB.xml
AHLWEST,Asian Hotels (West) Limited,Board Meeting Intimation,ASIAN HOTELS (WEST) LIMITED has informed the Exchange about Board Meeting to be held on 27-Nov-2024 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended September 2023 .,27-Nov-2024,25-Nov-2024 16:17:02,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_41591_1319043_25112024041658_WEB.xml
AHLWEST,Asian Hotels (West) Limited,Board Meeting Intimation,ASIAN HOTELS (WEST) LIMITED has informed the Exchange about Board Meeting to be held on 27-Nov-2024 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2023 .,27-Nov-2024,25-Nov-2024 16:16:47,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_41590_1319041_25112024041644_WEB.xml
