bsecode,nsecode,name_of_the_company,status,face_value,isin_number,igroup_name
533022,20MICRONS,20 MICRONS LTD.,Active,5,INE144J01027,Mining & Mineral products
526921,21STCENMGM,TWENTYFIRST CENTURY MANAGEMENT SERVICES LTD.,Active,10,INE253B01015,Finance
542772,360ONE,360 ONE WAM LTD,Active,1,INE466L01038,Finance
532628,3IINFOLTD,3I INFOTECH LTD.,Active,10,INE748C01038,IT - Software
523395,3MINDIA,3M INDIA LTD.,Active,10,INE470A01017,Diversified
516092,3PLAND,3P Land Holdings Ltd,Active,2,INE105C01023,Finance
540776,5PAISA,5paisa Capital Ltd,Active,10,INE618L01018,Stock/ Commodity Brokers
526881,63MOONS,63 Moons Technologies Ltd,Active,2,INE111B01023,IT - Software
533292,A2ZINFRA,A2Z Infra Engineering Limited,Active,10,INE619I01012,Infrastructure Developers & Operators
543671,AAATECH,AAA Technologies Ltd,Active,10,INE0D0U01013,IT - Software
544176,AADHARHFC,Aadhar Housing Finance Ltd,Active,10,INE883F01010,Finance
,AAKASH,Aakash Exploration Services Limited,BE,1,INE087Z01024,Oil Drill/Allied
524412,AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS LTD.,Active,10,INE198H01019,Pharmaceuticals
,AARON,Aaron Industries Limited,EQ,10,INE721Z01010,Capital Goods-Non Electrical Equipment
542580,AARTECH,Aartech Solonics Ltd,Active,10,INE01C001018,Capital Goods - Electrical Equipment
524348,AARTIDRUGS,AARTI DRUGS LTD.,Active,10,INE767A01016,Pharmaceuticals
524208,AARTIIND,AARTI INDUSTRIES LTD.,Active,5,INE769A01020,Chemicals
543748,AARTIPHARM,Aarti Pharmalabs Ltd,Active,5,INE0LRU01027,Pharmaceuticals
543210,AARTISURF,Aarti Surfactants Ltd,Active,10,INE09EO01013,Chemicals
514274,AARVEEDEN,AARVEE DENIMS & EXPORTS LTD.,Active,10,INE273D01019,Textiles
,AARVI,Aarvi Encon Limited,EQ,10,INE754X01016,Miscellaneous
541988,AAVAS,AAVAS Financiers Ltd,Active,10,INE216P01012,Finance
523204,ABAN,ABAN OFFSHORE LTD.,Active,2,INE421A01028,Crude Oil & Natural Gas
500002,ABB,ABB India Limited,Active,2,INE117A01022,Capital Goods - Electrical Equipment
500488,ABBOTINDIA,ABBOTT INDIA LTD.,Active,10,INE358A01014,Pharmaceuticals
540691,ABCAPITAL,Aditya Birla Capital Ltd,Active,10,INE674K01013,Finance
544203,ABDL,Allied Blenders and Distillers Ltd,Active,2,INE552Z01027,Alcoholic Beverages
535755,ABFRL,Aditya Birla Fashion and Retail Ltd,Active,10,INE647O01011,Retail
,ABMINTLLTD,ABM International Limited,BE,10,INE251C01025,Trading
543374,ABSLAMC,Aditya Birla Sun Life AMC Ltd,Active,5,INE404A01024,Finance
542863,ABSLBANETF,Aditya Birla Sun Life Nifty Bank ETF,Active,1,INF209KB17D5,
542230,ABSLNN50ET,Aditya Birla Sun Life Nifty Next 50 ETF,Active,1,INF209KB16D7,
500410,ACC,ACC LTD.,Active,10,INE012A01025,Cement
532268,ACCELYA,Accelya Solutions India Ltd,Active,10,INE793A01012,IT - Software
,ACCURACY,Accuracy Shipping Limited,BE,1,INE648Z01023,Logistics
532762,ACE,ACTION CONSTRUCTION EQUIPMENT LTD.,Active,2,INE731H01025,Capital Goods-Non Electrical Equipment
,ACEINTEG,Ace Integrated Solutions Limited,EQ,10,INE543V01017,IT - Software
543657,ACI,Archean Chemical Industries Ltd,Active,2,INE128X01021,Chemicals
532141,ACL,ANDHRA CEMENTS LTD.,Active,10,INE666E01020,Cement
532345,ACLGATI,Allcargo Gati Ltd,Active,2,INE152B01027,Retail
539254,ADANIENSOL,Adani Energy Solutions Ltd,Active,10,INE931S01010,Power Generation & Distribution
512599,ADANIENT,ADANI ENTERPRISES LTD.,Active,1,INE423A01024,Trading
541450,ADANIGREEN,Adani Green Energy Ltd,Active,10,INE364U01010,Power Generation & Distribution
532921,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,Active,2,INE742F01042,Marine Port & Services
533096,ADANIPOWER,ADANI POWER LTD.,Active,10,INE814H01011,Power Generation & Distribution
519183,ADFFOODS,ADF FOODS LTD.-$,Active,2,INE982B01027,FMCG
543231,ADL,Archidply Decor Ltd,Active,10,INE0CHO01012,Plywood Boards/Laminates
517041,ADORWELD,ADOR WELDING LTD.,Active,10,INE045A01017,Capital Goods-Non Electrical Equipment
532172,ADROITINFO,Adroit Infotech Ltd,Active,10,INE737B01033,IT - Software
532875,ADSL,ALLIED DIGITAL SERVICES LTD.,Active,5,INE102I01027,IT - Software
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,Active,2,INE199C01026,Hotels & Restaurants
540025,ADVENZYMES,Advanced Enzyme Technologies Ltd,Active,2,INE837H01020,Pharmaceuticals
500003,AEGISLOG,AEGIS LOGISTICS LTD.,Active,1,INE208C01025,Trading
543972,AEROFLEX,Aeroflex Industries Ltd,Active,2,INE024001021,Steel
543534,AETHER,Aether Industries Ltd,Active,10,INE0BWX01014,Chemicals
542752,AFFLE,Affle (India) Ltd,Active,2,INE00WC01027,IT - Software
544200,AFIL,Akme Fintrade (India) Ltd,Active,10,INE916Y01019,Finance
531921,AGARIND,AGARWAL INDUSTRIAL CORPORATION LTD.,Active,10,INE204E01012,Petrochemicals
500187,AGI,Agi Greenpac Ltd,Active,2,INE415A01038,Packaging
537292,AGRITECH,Agri- Tech (India) Ltd,Active,10,INE449G01018,Miscellaneous
,AGROPHOS,Agro Phos India Limited,EQ,10,INE740V01019,Fertilizers
543451,AGSTRA,AGS Transact Technologies Ltd,Active,10,INE583L01014,IT - Hardware
543712,AHL,Abans Holdings Ltd,Active,2,INE00ZE01026,Finance
,AHLADA,Ahlada Engineers Limited,BE,10,INE00PV01013,Steel
