S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Piotrski,Code,bsecode,nsecode
1,Hindustan Hardy,631.5,19.45,94.73,0.35,1.27,-18.59,18.05,3.14,27.49,9,505893,505893,
2,Gabriel India,498.35,38.91,7158.5,0.8,52.71,56.13,858.63,16.51,26.72,9,GABRIEL,,GABRIEL
3,Sundaram Brake,808.8,31.53,317.86,0.25,0.58,-73.15,89.03,-2.99,11.36,9,SUNDRMBRAK,,SUNDRMBRAK
4,Auto.Corp.of Goa,2802.25,36.94,1706.18,0.71,17.92,77.43,203.33,34.66,18.67,9,505036,505036,
5,Omax Autos,147.26,244.18,314.99,1.36,2.65,328.45,84.2,17.78,5.19,9,OMAXAUTO,,OMAXAUTO
6,Privi Speci.,1596.1,49.83,6234.8,0.13,32.21,548.09,441.16,8.89,12.41,9,PRIVISCL,,PRIVISCL
7,Hardcast.& Waud,900,23.72,61.2,0,0.55,511.11,1.29,16.22,7,9,509597,509597,
8,ARSS Infra,19.28,,43.84,0,-21.87,-109450,75.4,-29.78,0.58,9,ARSSINFRA,,ARSSINFRA
9,BASF India,6238.45,48.04,27006.25,0.24,161.51,127,3359.97,2.54,24.99,9,BASF,,BASF
10,Universal Starch,219.35,13.18,92.13,0,4.48,85.12,145.05,4.39,13.45,9,524408,524408,
11,Mangalore Chem.,137.73,10.92,1632.38,1.09,43.91,-10.91,814.05,-15.03,16.62,9,MANGCHEFER,,MANGCHEFER
12,Bayer Crop Sci.,6956.5,42.11,31263.97,2.01,96,-38.45,791.5,-19.44,33.91,9,BAYERCROP,,BAYERCROP
13,Plastiblends (I),317.6,21.88,825.42,1.34,10.85,41.83,211.58,8.13,11.1,9,PLASTIBLEN,,PLASTIBLEN
14,Insecticid.India,796.6,23.27,2357.76,0.38,8.08,127.85,272.5,-9.74,13.02,9,INSECTICID,,INSECTICID
15,Gillette India,7824.7,65.81,25500.7,1.09,99.09,-3.52,680.74,9.96,52.01,9,GILLETTE,,GILLETTE
16,Prakash Industri,195.28,10.04,3497.11,0,88.77,53.16,890.44,-11.88,11.63,9,PRAKASH,,PRAKASH
17,A B B,7896.85,114.41,167340.87,0.3,459.29,87.46,3080.36,27.75,30.69,9,ABB,,ABB
18,GE T&D India,1585.05,141.24,40585.21,0,134.54,376.42,958.34,33.55,22.15,9,GET&D,,GET&D
19,Danlaw Tech.,1910.7,41.86,930.64,0,6.62,178.15,61.52,27.5,40.21,9,532329,532329,
20,ATV Projects,33.03,27.16,175.46,0,1.52,-14.12,19.2,40.76,2.59,9,500028,500028,
21,Smiths & Founder,6.48,104.9,66.09,0,0.27,,3.13,15.07,4.25,9,513418,513418,
22,Rapicut Carbides,159.95,175.29,85.89,0,0.53,255.88,16.92,7.77,4.33,9,500360,500360,
23,First Custodian,95.3,8.72,14.3,1.05,0.75,1350,0.98,512.5,16.25,9,511122,511122,
24,G K Consultants,16.7,63.36,8.87,0,0.01,133.33,0.45,164.71,2.73,9,531758,531758,
25,Anna Infrastruct,36.94,23.4,14.04,0,0.07,-22.22,0.21,-27.59,7.97,9,530799,530799,
26,Bharat Bhushan,43.09,50.21,14.56,1.39,0.11,175,0.24,50,1.29,9,511501,511501,
27,Panasonic Energy,551.1,35.33,413.33,1.61,1.07,122.48,72.51,19.2,16,9,504093,504093,
28,Hindoo. Mills,317.3,41.47,52.67,0,0.91,403.33,22.66,-26,3.3,9,509895,509895,
29,Rishi Techtex,61.66,33.76,45.57,0,0.32,-41.82,29.76,4.46,8.64,9,523021,523021,
30,Innovative Tech,37.16,46.64,83.48,0,0.16,-40.74,34.82,-10.88,10.38,9,523840,523840,
31,Premier Polyfilm,235.97,24,494.32,0.21,6.7,49.55,69.46,8.74,30.59,9,PREMIERPOL,,PREMIERPOL
32,Promact Impex,12.95,9.37,8.43,0,0.87,-26.27,1.08,-25.52,62.91,9,526494,526494,
33,Ashish Polyplast,77.98,27.91,26.51,0,0.33,50,4.39,9.2,15.95,9,530429,530429,
34,Synthiko Foils,73.7,58.27,12.82,0,0.1,11.11,6.13,1.16,11.72,9,513307,513307,
35,Finolex Cables,1533.15,41.02,23447.9,0.46,146.22,8.65,1401.02,14.43,19,9,FINCABLES,,FINCABLES
36,Prem. Explosives,661.05,130.71,3553.88,0.05,7.28,-11.33,82.86,33.75,17.96,9,PREMEXPLN,,PREMEXPLN
37,Telogica,24.3,69.12,58.06,0,-2.49,-75.35,4.56,314.55,,9,532975,532975,
38,Mukat Pipes,23.58,93,27.9,0,0.04,-63.64,2.06,37.33,,9,523832,523832,
39,Prakash Steelage,11.11,8.32,194.43,0,35.06,725,25.73,-17.98,,9,PRAKASHSTL,,PRAKASHSTL
40,Shekhawati Poly.,6.54,12.02,225.43,0,2.36,213.46,16.52,5.83,35.14,9,SPYL,,SPYL
41,Pasari Spinning,11.85,38.02,16.35,0,0.09,117.65,0.17,0,24.29,9,521080,521080,
42,Raghuvir Synth,135.6,110.85,525.45,0,3.49,39.04,63.41,67.13,14.48,9,514316,514316,
43,Arex Industries,148.75,23.19,58.91,0,0.03,-82.35,13.48,24.01,11.29,9,526851,526851,
44,T T,124.46,57.79,267.59,0,6.23,297.15,51.39,-11.84,7.9,9,TTL,,TTL
45,Nandan Denim,52.07,16.69,750.57,0,27.11,882.25,579.12,26.68,11.7,9,NDL,,NDL
46,Dhanlaxmi Cotex,68.05,11.47,33.15,0,-0.4,13.04,3.75,-13.99,5.68,9,512485,512485,
47,HLV,21.98,60.88,1449.05,0,10.35,40.05,59.74,14.82,5.65,9,HLVLTD,,HLVLTD
48,Jindal Hotels,129.6,37.8,90.72,0,2.38,235.21,12.78,17.03,9.12,9,507981,507981,
49,Ras Resorts,44.34,31.43,17.6,0,0.36,,3.32,6.07,3.4,9,507966,507966,
50,Benares Hotels,8039.05,28.9,1045.08,0.31,6.43,2.06,23,-9.7,40.56,9,509438,509438,
51,RR Metalmakers,62.6,53.71,56.4,0,-0.09,-116.98,19.83,32.73,22.77,9,531667,531667,
52,Malu Paper,52.66,99.82,89.84,0,0.1,109.26,75.39,29.16,9.25,9,MALUPAPER,,MALUPAPER
53,Autoriders Intl.,83.54,0.43,4.09,0.6,0.27,124.77,21.56,9.55,26.88,9,512277,512277,
54,3M India,39285.8,82.64,44275.1,0.41,161.24,30.8,1032.72,4.69,33.04,9,3MINDIA,,3MINDIA
55,Haryana Leather,115.35,12.26,56.64,0.87,2.37,308.62,13.53,24.36,14.43,9,524080,524080,
56,Vinayak Polycon,28.45,30.21,8.76,0,0.14,600,5.54,-11.22,8.12,9,534639,534639,
57,KIFS Financial,160,24.31,173.12,0.84,2.52,-1.18,16.99,82.69,14.86,9,535566,535566,
58,Orient Cement,349.25,40.89,7155.04,0.64,68.2,1.22,888.03,1.37,16.13,9,ORIENTCEM,,ORIENTCEM
59,Denis Chem Lab,190.1,23.66,263.8,1.32,2.73,250,39.85,0.3,16.06,9,537536,537536,
60,Indo Cotspin,91.36,319.83,38.38,0,0.1,150,3.07,-5.25,1.16,9,538838,538838,
61,Naturite Agro,90.3,136.63,47.82,0,2.97,1750,2.01,35.81,2.14,9,538926,538926,
62,Ambar Protein,145.1,26.49,83.43,0,-0.45,-2150,89.51,-0.54,12.92,9,519471,519471,
63,Bhaskar Agrochem,76.85,23.01,40.04,0,-0.9,16.67,9.48,-14.52,14.69,9,524534,524534,
64,Action Const.Eq.,1393.4,48.13,16593.05,0.14,84.18,24.62,734.26,12.68,42.25,9,ACE,,ACE
65,Alembic Pharma,1179.55,37.83,23185.6,0.93,178.21,16.78,1516.98,7.86,13.14,9,APLLTD,,APLLTD
66,Amines & Plast.,330,45.59,1815.66,0.15,12.94,51.35,177.34,6.27,23.3,9,AMNPLST,,AMNPLST
67,Ansal Buildwell,157.65,8.02,116.35,0.63,-5.02,-356.36,2.79,-38.82,13.06,9,523007,523007,
68,Apollo Tyres,555.7,20.16,35292.56,1.08,354.08,-3.94,6258.2,0.17,16.45,9,APOLLOTYRE,,APOLLOTYRE
69,BAG Films,9.04,44.95,178.92,0,-0.49,-122.9,40.35,8.44,6.99,9,BAGFILMS,,BAGFILMS
70,Bedmutha Indus.,223.49,34.44,721.07,0,6.75,57.34,229.46,20.13,15.79,9,BEDMUTHA,,BEDMUTHA
71,BEML Ltd,4565.2,67.46,19009.49,0.22,256.8,62.85,1513.65,9.06,15.18,9,BEML,,BEML
72,Bengal & Assam,9337.85,6.76,10548.34,0.27,316.51,11.19,522.94,-87.26,20.62,9,533095,533095,
73,India Power Corp,22.51,127.59,2192,0.22,7.56,19.43,162.26,1.36,4.37,9,DPSCLTD,,DPSCLTD
74,Ecoplast,604.5,19.91,181.35,0.5,2.74,-17.22,29.66,10.47,31.98,9,526703,526703,
75,EIH,440.7,42.77,27559.8,0.27,247.59,85.73,741.34,16.37,23.62,9,EIHOTEL,,EIHOTEL
76,Elecon Engg.Co,630.1,39.72,14139.44,0.24,73.36,0.55,392.36,-5.3,31.32,9,ELECON,,ELECON
77,Electrotherm(I),931.15,3.74,1186.55,0,104.03,33.32,1217.57,17.85,40.17,9,ELECTHERM,,ELECTHERM
78,Emami,816.95,48.92,35659.87,0.98,146.75,3.62,891.24,6.61,32.56,9,EMAMILTD,,EMAMILTD
79,Ent.Network,252.54,39.55,1203.86,0.4,-5.45,-20.84,113.5,8.9,5.64,9,ENIL,,ENIL
80,Eveready Inds.,421.2,45.31,3061.28,0.24,8.05,155.94,280.9,-1.84,16.15,9,EVEREADY,,EVEREADY
81,Force Motors,9244.75,27.99,12184.58,0.11,115.73,68.73,1884.9,26.71,23.77,9,FORCEMOT,,FORCEMOT
82,Olectra Greentec,1709.1,182.59,14028.42,0.02,14.89,-49.24,288.81,-23.17,14.79,9,OLECTRA,,OLECTRA
83,GPT Infraproject,167.4,32.92,1947.6,0.9,16.03,31.61,241.73,2.47,21.64,9,GPTINFRA,,GPTINFRA
84,Grauer & Weil,88.59,27.46,4016.77,0.45,29.17,31.22,333.12,1.82,26.09,9,505710,505710,
85,Hexa Tradex,224.13,41.13,1238.32,0,-1.87,-99,0,-100,3.87,9,HEXATRADEX,,HEXATRADEX
86,Himatsing. Seide,151.03,13.18,1487.04,0,23.74,6.22,696.87,1.05,10.54,9,HIMATSEIDE,,HIMATSEIDE
87,India Nipp.Elec.,793.7,30.28,1795.46,1.29,20.42,43.7,195.68,23.87,12.8,9,INDNIPPON,,INDNIPPON
88,Indian Metals,738.05,10.63,3982.08,2.03,113.34,2.42,662.28,-5.62,23.75,9,IMFA,,IMFA
89,ITD Cem,512.75,32.18,8808.41,0.33,89.55,137.68,2257.72,38.39,27.47,9,ITDCEM,,ITDCEM
90,Jagran Prakashan,101.12,13.35,2200.92,3.96,6.02,-74.13,509.64,10.94,10.63,9,JAGRAN,,JAGRAN
91,JP Power Ven.,19.85,8.62,13604.12,0,348.54,81.86,1754.7,2.75,13.97,9,JPPOWER,,JPPOWER
92,JBM Auto,2047.15,132.97,24206.96,0.06,33.54,10.67,1144.5,20.95,14.63,9,JBMA,,JBMA
93,J K Cements,4416.95,39.78,34129,0.34,184.82,50.38,2807.57,1.63,15.8,9,JKCEMENT,,JKCEMENT
94,Jyothy Labs,526.8,51.63,19344.55,0.66,101.69,5.65,741.81,7.96,26.99,9,JYOTHYLAB,,JYOTHYLAB
95,KJMC Financial,66.99,37.28,32.06,0,0.02,103.92,1.18,84.38,1.83,9,530235,530235,
96,KJMC Corporate,72.8,12.43,28.58,0,0.15,-72.73,2.42,54.14,6.45,9,532304,532304,
